"SOURCE MAPPING  —  Every source question mapped to its Impactree Indicator  |  Filter by Standard, Module, or Indicator ID",,,,,,
Impactree ID,Module,Indicator,Source Standard,Source Question ID,Source Question Text,Source Section / Module
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.11.4,Provide details of your environmental engagement strategy with your investees.,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.11.5,Do your suppliers have to meet environmental requirements as part of your organization’s purchasing,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.11.6,Provide details of the environmental requirements that suppliers have to meet as part of your,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.11.7,Provide further details of your organization’s supplier engagement on environmental issues.,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.11.8,Provide details of any environmental smallholder engagement activity.,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.11.9,Provide details of any environmental engagement activity with other stakeholders in the value chain. ... 420,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.12,Indicate any mutually beneficial environmental initiatives you could collaborate on with specific CDP Supply,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.13,Has your organization already implemented any mutually beneficial environmental initiatives due to CDP,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.13.1,Specify the CDP Supply Chain members that have prompted your implementation of mutually beneficial,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.14,Do your external asset managers have to meet environmental requirements as part of your organization’s,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.14.1,Provide details of the environmental requirements that external asset managers have to meet as part of,Module 5: Business Strategy ..........................................
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking",CDP,CDP-5.15,Does your organization exercise voting rights as a shareholder on environmental issues?,Module 5: Business Strategy ..........................................
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking",CDP,CDP-5.15.1,Provide details of your shareholder voting record on environmental issues.,Module 5: Business Strategy ..........................................
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking",CDP,CDP-5.2,Does your organization’s strategy include a climate transition plan?,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.3,Have environmental risks and opportunities affected your strategy and/or financial planning?,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.3.1,Describe where and how environmental risks and opportunities have affected your strategy.,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.3.2,Describe where and how environmental risks and opportunities have affected your financial planning. ... 306,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.4,"In your organization’s financial accounting, do you identify spending/revenue that is aligned with your",Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.4.1,Quantify the amount and percentage share of your spending/revenue that is aligned with your,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.4.2,Quantify the percentage share of your spending/revenue that was associated with eligible and aligned,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.4.3,Provide any additional contextual and/or verification/assurance information relevant to your organization’s,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5,Does your organization invest in research and development (R&D) of low-carbon products or services related,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.1,Provide details of your organization’s investments in low-carbon R&D for cement production activities over,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.2,Provide details of your organization’s investments in low-carbon R&D for capital goods products and,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.3,Provide details of your organization’s investments in low-carbon R&D for chemical production activities,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.4,Provide details of your organization’s investments in low-carbon R&D for metals and mining production,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.5,Provide details of your organization’s investments in low-carbon R&D for steel production activities over the,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.6,Provide details of your organization’s investments in low-carbon R&D for real estate and construction,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.7,Provide details of your organization's investments in low-carbon R&D for your sector activities over the last,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.5.8,Provide details of your organization’s investments in low-carbon R&D for transport-related activities over,Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.6,"Break down, by fossil fuel expansion activity, your organization’s CAPEX in the reporting year and CAPEX",Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.7,"Break down, by source, your organization’s CAPEX in the reporting year and CAPEX planned over the next 5",Module 5: Business Strategy ..........................................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-5.7.1,Break down your total planned CAPEX in your current CAPEX plan for products and services (e.g. smart,Module 5: Business Strategy ..........................................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-5.8,"Disclose the breakeven price (US$/BOE) required for cash neutrality during the reporting year, i.e. where cash",Module 5: Business Strategy ..........................................
IMP-M04-I05,Risk & Opportunity Management,Scenario Analysis,CDP,CDP-5.9,What is the trend in your organization’s water-related capital expenditure (CAPEX) and operating expenditure,Module 5: Business Strategy ..........................................
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,CDP,CDP-6.1,Provide details on your chosen consolidation approach for the calculation of environmental performance,Module 6: Environmental Performance – Consolidation Approach .........
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,CDP,CDP-7.1,Is this your first year of reporting emissions data to CDP?,Module 7: Environmental Performance – Climate Change .................
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,CDP,CDP-7.1.1,"Has your organization undergone any structural changes in the reporting year, or are any previous structural changes",Module 7: Environmental Performance – Climate Change .................
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,CDP,CDP-7.1.2,"Has your emissions accounting methodology, boundary, and/or reporting year definition changed in the reporting year?",Module 7: Environmental Performance – Climate Change .................
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,CDP,CDP-7.1.3,Have your organization’s base year emissions and past years’ emissions been recalculated as a result of any changes or,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.10,How do your gross global emissions (Scope 1 and 2 combined) for the reporting year compare to those of the previous,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.10.1,"Identify the reasons for any change in your gross global emissions (Scope 1 and 2 combined), and for each of them",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.10.2,Are your emissions performance calculations in 7.10 and 7.10.1 based on a location-based Scope 2 emissions figure,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.11,How do your total Scope 3 emissions for the reporting year compare to those of the previous reporting year?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.11.1,"For each Scope 3 category calculated in 7.8, specify how your emissions compare to the previous year and identify the",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.12,Are carbon dioxide emissions from biogenic carbon relevant to your organization?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,CDP,CDP-7.12.1,Provide the emissions from biogenic carbon relevant to your organization in metric tons CO .,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.13,Is biogenic carbon pertaining to your direct operations relevant to your current CDP climate change disclosure?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.13.1,Account for biogenic carbon data pertaining to your direct operations and identify any exclusions.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.14,Do you calculate greenhouse gas emissions for each agricultural commodity reported as significant to your business? 76,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I01,Energy,Total Energy Consumption,CDP,CDP-7.15,Does your organization break down its Scope 1 emissions by greenhouse gas type?,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I01,Energy,Total Energy Consumption,CDP,CDP-7.15.1,Break down your total gross global Scope 1 emissions by greenhouse gas type and provide the source of each used,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I01,Energy,Total Energy Consumption,CDP,CDP-7.15.2,Break down your total gross global Scope 1 emissions from coal mining activities in the reporting year by greenhouse,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I01,Energy,Total Energy Consumption,CDP,CDP-7.15.3,Break down your total gross global Scope 1 emissions from electric utilities value chain activities by greenhouse gas,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I01,Energy,Total Energy Consumption,CDP,CDP-7.15.4,Break down your total gross global Scope 1 emissions from oil and gas value chain production activities by,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I07,Energy,Energy Efficiency Initiatives,CDP,CDP-7.16,Break down your total gross global Scope 1 and 2 emissions by country/area.,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,CDP,CDP-7.17,Indicate which gross global Scope 1 emissions breakdowns you are able to provide.,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,CDP,CDP-7.17.1,Break down your total gross global Scope 1 emissions by business division.,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,CDP,CDP-7.17.2,Break down your total gross global Scope 1 emissions by business facility.,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,CDP,CDP-7.17.3,Break down your total gross global Scope 1 emissions by business activity.,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I02,Energy,Renewable Energy Consumption,CDP,CDP-7.18,Do you include emissions pertaining to your business activity(ies) in your direct operations as part of your global gross,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I02,Energy,Renewable Energy Consumption,CDP,CDP-7.18.1,Select the form(s) in which you are reporting your agricultural/forestry emissions.,Module 7: Environmental Performance – Climate Change .................
IMP-M06-I02,Energy,Renewable Energy Consumption,CDP,CDP-7.18.2,"Report the Scope 1 emissions pertaining to your business activity(ies) and explain any exclusions. If applicable,",Module 7: Environmental Performance – Climate Change .................
IMP-M06-I02,Energy,Renewable Energy Consumption,CDP,CDP-7.18.3,Why do you not include greenhouse gas emissions pertaining your business activity(ies) in your direct operations as,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,CDP,CDP-7.19,Break down your organization’s total gross global Scope 1 emissions by sector production activity in metric tons CO2e.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.2,"Select the name of the standard, protocol, or methodology you have used to collect activity data and calculate emissions.",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,CDP,CDP-7.20,Indicate which gross global Scope 2 emissions breakdowns you are able to provide.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,CDP,CDP-7.20.1,Break down your total gross global Scope 2 emissions by business division.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,CDP,CDP-7.20.2,Break down your total gross global Scope 2 emissions by business facility.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,CDP,CDP-7.20.3,Break down your total gross global Scope 2 emissions by business activity.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.21,Break down your organization’s total gross global Scope 2 emissions by sector production activity in metric tons CO2e.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.22,Break down your gross Scope 1 and Scope 2 emissions between your consolidated accounting group and other entities,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.23,Is your organization able to break down your emissions data for any of the subsidiaries included in your CDP response?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.23.1,Break down your gross Scope 1 and Scope 2 emissions by subsidiary.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.24,Report your methane emissions as percentages of natural gas and hydrocarbon production or throughput.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.25,"Disclose the percentage of your organization’s Scope 3, Category 1 emissions by purchased chemical feedstock.",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,CDP,CDP-7.25.1,Disclose sales of products that are greenhouse gases.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,CDP,CDP-7.26,Allocate your emissions to your customers listed below according to the goods or services you have sold them in this,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.27,"What are the challenges in allocating emissions to different customers, and what would help you to overcome these",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.28,Do you plan to develop your capabilities to allocate emissions to your customers in the future?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.29,What percentage of your total operational spend in the reporting year was on energy?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,CDP,CDP-7.3,Describe your organization’s approach to reporting Scope 2 emissions.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30,Select which energy-related activities your organization has undertaken.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.1,Report your organization’s energy consumption totals (excluding feedstocks) in MWh.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.10,Provide details on the electricity and heat your organization has generated and consumed for cement production,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.11,"Provide details on electricity, heat, steam, and cooling your organization has generated and consumed for chemical",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.12,"Provide details on the electricity, heat, steam, and cooling your organization has generated and consumed for metals",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.13,"Provide details on the electricity, heat, and steam your organization has generated and consumed for steel production",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.14,"Provide details on the electricity, heat, steam, and/or cooling amounts that were accounted for at a zero or near-zero",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.15,Provide details on the average emission factor used for all transport movements per mode that directly source energy,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.16,Provide a breakdown by country/area of your electricity/heat/steam/cooling consumption in the reporting year. .... 184,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.17,Provide details of your organization’s renewable electricity purchases in the reporting year by country/area.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.18,"Provide details of your organization’s low-carbon heat, steam, and cooling purchases in the reporting year by",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.19,Provide details of your organization’s renewable electricity generation by country/area in the reporting year.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.2,Report your organization’s energy consumption totals (excluding feedstocks) for cement production activities in MWh.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.20,Describe how your organization’s renewable electricity sourcing strategy directly or indirectly contributes to bringing,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.21,"In the reporting year, has your organization faced barriers or challenges to sourcing renewable electricity?",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.22,Provide details of the country/area-specific challenges to sourcing renewable electricity faced by your organization in,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.3,Report your organization’s energy consumption totals (excluding feedstocks) for chemical production activities in,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.4,Report your organization’s energy consumption totals (excluding feedstocks) for metals and mining production,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.5,Report your organization’s energy consumption totals (excluding feedstocks) for steel production activities in MWh. 150,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.6,Select the applications of your organization’s consumption of fuel.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.7,State how much fuel in MWh your organization has consumed (excluding feedstocks) by fuel type.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.8,State how much fuel in MWh your organization has consumed (excluding feedstocks) by fuel for cement production,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.30.9,"Provide details on the electricity, heat, steam, and cooling your organization has generated and consumed in the",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.31,Does your organization consume fuels as feedstocks for chemical production activities?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.31.1,Disclose details on your organization’s consumption of feedstocks for chemical production activities.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.31.2,"State the percentage, by mass, of primary resource from which your chemical feedstocks derive.",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.32,Disclose details on your organization’s consumption of feedstocks for steel production activities.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.33,Does your electric utility organization have a transmission and distribution business?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,CDP,CDP-7.33.1,Disclose the following information about your transmission and distribution business.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,CDP,CDP-7.34,Does your organization measure the efficiency of any of its products or services?,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,CDP,CDP-7.34.1,Provide details of the metrics used to measure the efficiency of your organization's products or services.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.35,Provide any efficiency metrics that are appropriate for your organization’s transport products and/or services.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.36,Provide any efficiency metrics that are appropriate for your organization’s transport products and/or services.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.37,Disclose coal reserves and production by coal type attributable to your organization in the reporting year.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,CDP,CDP-7.37.1,Disclose coal resources by coal type attributable to your organization in the reporting year.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.38,Disclose your net liquid and gas hydrocarbon production (total of subsidiaries and equity-accounted entities).,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.38.1,Explain which listing requirements or other methodologies you use to report reserves data. If your organization cannot,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.38.2,"Disclose your estimated total net reserves and resource base (million boe), including the total associated with",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.38.3,"Provide an indicative percentage split for 2P, 3P reserves, and total resource base by hydrocarbon categories.",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.38.4,"Provide an indicative percentage split for production, 1P, 2P, 3P reserves, and total resource base by development",Module 7: Environmental Performance – Climate Change .................
IMP-M20-I03,Economic Performance,R&D & Capex in Sustainable Technologies,CDP,CDP-7.39,Provide details on your organization’s chemical products.,Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.4,"Are there any sources (e.g. facilities, specific GHGs, activities, geographies, etc.) of Scope 1, Scope 2 or Scope 3 emissions",Module 7: Environmental Performance – Climate Change .................
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,CDP,CDP-7.4.1,"Provide details of the sources of Scope 1, Scope 2, or Scope 3 emissions that are within your selected reporting",Module 7: Environmental Performance – Climate Change .................
IMP-M20-I03,Economic Performance,R&D & Capex in Sustainable Technologies,CDP,CDP-7.40,Break down the coal production attributed to your organization in the reporting year by grade.,Module 7: Environmental Performance – Climate Change .................
IMP-M20-I03,Economic Performance,R&D & Capex in Sustainable Technologies,CDP,CDP-7.40.1,Break down the coal production attributed to your organization in the reporting year by mine type.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.41,"Report your organization’s steel-related consumption, production and capacity figures by steel plant.",Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.41.1,Report your organization’s steel-related production outputs and capacities by product.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.42,Provide details on the commodities relevant to the mining production activities of your organization.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.42.1,Provide details on the commodities relevant to the metals production activities of your organization.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.43,Disclose your total refinery throughput capacity in the reporting year in thousand barrels per day.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.43.1,Disclose feedstocks processed in the reporting year in million barrels per year.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.43.2,Are you able to break down your refinery products and net production?,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.43.3,Disclose your refinery products and net production in the reporting year in million barrels per year.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.43.4,Please disclose your petrochemicals production in the reporting year in thousand metric tons.,Module 7: Environmental Performance – Climate Change .................
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,CDP,CDP-7.44,Explain which listing requirements or other methodologies you have used to provide reserves data in 7.37. If your,Module 7: Environmental Performance – Climate Change .................
